brightness,contrast,colorfulness,sharpness,saturation,texture_noise,image_path
0.39183363,0.28597674,0.20516738,5882.531,0.35288367,0.033003487,10004473376.jpg
0.6400995,0.18921149,0.087098,1700.0444,0.1769193,0.028776137,10007357496.jpg
0.5151078,0.20569105,0.2567938,3313.5132,0.3760713,0.0047389874,10007903636.jpg
0.14761798,0.13104455,0.092468835,549.19415,0.50562984,0.0051431498,10009096245.jpg
0.73907155,0.15713334,0.18263644,3783.3127,0.27841413,0.007227372,100117038.jpg
0.7787625,0.162717,0.2267367,352.30524,0.22740345,0.009934936,10012398043.jpg
0.79121655,0.16123906,0.10468364,234.78487,0.1811089,0.001541877,10013822223.jpg
0.8044217,0.15888453,0.18162042,48.43092,0.1983318,0.0023384427,10014002683.jpg
0.7219655,0.20723388,0.1867092,2846.188,0.23417547,0.03279944,10017119924.jpg
0.28880268,0.2331837,0.12898575,2889.6484,0.33793998,0.021230508,10020766793.jpg
0.24450432,0.15661216,0.36056992,860.87177,0.6831574,0.011053079,10020891105.jpg
0.77678853,0.34075892,0.13010097,923.8136,0.17485411,0.0003740806,10022757465.jpg
0.51784825,0.34674582,0.117779836,2950.6345,0.32009053,0.010658276,10022844623.jpg
0.3256289,0.19077538,0.3499026,881.16315,0.6409934,0.006893268,10027545463.jpg
0.63291997,0.10503434,0.25660408,313.65424,0.29337785,0.0093382625,10027582235.jpg
0.43541488,0.27287894,0.23823068,1657.061,0.47180226,0.013051144,10029841663.jpg
0.19033073,0.28322846,0.0052993814,997.94244,0.007933553,0.0084771495,10031298826.jpg
0.6194562,0.2114405,0.18678331,3197.4282,0.37921727,0.025814379,10031913154.jpg
0.7096843,0.10994807,0.2013065,51.55901,0.3158068,0.0012810093,10039534103.jpg
0.3525379,0.24821089,0.112014525,1786.688,0.23711853,0.020482114,10041870415.jpg
0.4165567,0.2618948,0.15800995,4050.1628,0.30590644,0.043752845,10043785683.jpg
0.37406793,0.2694004,0.07892343,387.82834,0.20743713,0.008225531,10047832035.jpg
0.444909,0.3108674,0.2398322,2988.103,0.4107722,0.014357139,10048365153.jpg
0.40975332,0.37601754,0.13979258,68.72591,0.5275228,0.002761385,10050349236.jpg
0.17206411,0.112225555,0.32772285,53.487045,0.8849803,0.0061664255,10058760545.jpg
0.67385906,0.33982706,0.1388596,1499.346,0.18255708,0.012676202,10059344614.jpg
0.6273256,0.27522835,0.4362699,158.47409,0.43505916,0.0037641576,10061596254.jpg
0.34991145,0.2790109,0.18175553,2068.0154,0.58016247,0.015078166,10067457634.jpg
0.17131382,0.16703346,0.22928014,1027.515,0.69139063,0.011001736,10068507976.jpg
0.487082,0.2739723,0.1260368,4832.5137,0.20469046,0.025980933,10068778516.jpg
0.46735075,0.20206533,0.4791489,2614.8757,0.557846,0.022506949,10069534975.jpg
0.63373643,0.11100443,0.13121471,210.12744,0.19414325,0.004633673,10071864114.jpg
0.7091368,0.36599773,0.5233666,402.9943,0.3721002,0.00041518363,10075168775.jpg
0.5037819,0.33514604,0.40662488,1196.6531,0.5357024,0.009541099,10077468576.jpg
0.6028276,0.13522549,0.10377409,217.84032,0.24777265,0.01418283,10077880165.jpg
0.20073545,0.2181332,0.29767781,210.22577,0.7137612,0.002351367,10079711433.jpg
0.14021981,0.17597604,0.29711094,288.98434,0.62758845,0.0047980407,10082923485.jpg
0.58295125,0.3301855,0.08781154,10865.417,0.15833052,0.077574074,10086300493.jpg
0.6528294,0.37109342,0.058386166,1069.1158,0.11621112,0.014200945,100882570.jpg
0.10949411,0.08805598,0.02658728,32.817287,0.23076738,0.0059021944,10089027076.jpg
0.75655466,0.21577764,0.07854468,4305.5737,0.09750484,0.004979508,10089177336.jpg
0.19869566,0.07847356,0.2832377,100.037056,0.83674735,0.003937407,10091520555.jpg
0.3571278,0.18882543,0.34244043,160.56604,0.5767408,0.0033841757,10093057603.jpg
0.47800326,0.22451156,0.32216305,4286.5913,0.5960534,0.044398602,10094235786.jpg
0.79200053,0.27743605,0.0,480.37817,0.0,0.004268893,10110458216.jpg
0.8267253,0.15610646,0.17692609,554.305,0.26277635,0.018152535,10111411235.jpg
0.48822927,0.20195946,0.39775214,527.03394,0.55802566,0.007685614,10113730664.jpg
0.26585126,0.2550531,0.081803545,2029.3085,0.38218448,0.017726416,10115071674.jpg
