Feature,Importance
noise_std_estimate,0.060990795
tenengrad,0.060468685
canny_edge_ratio,0.060072884
laplacian_variance,0.05761599
high_freq_energy,0.0574587
median_luminance,0.057219222
std_luminance,0.056531504
mid_freq_energy,0.05571601
percentile_contrast,0.055271123
lbp_uniformity,0.054488704
entropy_luminance,0.0544408
low_freq_energy,0.05393737
colorfulness,0.053279664
kurtosis_luminance,0.053251233
mean_luminance,0.053057067
skewness_luminance,0.052764747
mean_saturation,0.05197953
blockiness_energy,0.051455937
rms_contrast,0.0
