brightness,contrast,colorfulness,sharpness,saturation,texture_noise,image_path
0.39183366,0.28597677,0.20516741,5882.531,0.35288367,0.033003487,10004473376.jpg
0.6400996,0.18921149,0.087098,1700.0444,0.1769193,0.028776137,10007357496.jpg
0.5151078,0.20569107,0.25679377,3313.513,0.3760713,0.0047389874,10007903636.jpg
0.147618,0.13104455,0.092468835,549.19415,0.50562984,0.0051431498,10009096245.jpg
0.7390714,0.15713334,0.18263644,3783.3132,0.27841413,0.007227372,100117038.jpg
0.7787626,0.162717,0.2267367,352.3052,0.22740345,0.009934936,10012398043.jpg
0.79121655,0.16123906,0.10468364,234.78485,0.1811089,0.001541877,10013822223.jpg
0.8044217,0.15888454,0.18162042,48.430923,0.1983318,0.0023384427,10014002683.jpg
0.7219655,0.20723386,0.1867092,2846.1877,0.23417547,0.03279944,10017119924.jpg
0.28880265,0.2331837,0.12898575,2889.6484,0.33793998,0.021230508,10020766793.jpg
0.24450432,0.15661216,0.3605699,860.8718,0.6831574,0.011053079,10020891105.jpg
0.7767885,0.34075892,0.13010097,923.81354,0.17485411,0.0003740806,10022757465.jpg
0.5178482,0.34674582,0.11777984,2950.6348,0.32009053,0.010658276,10022844623.jpg
0.3256289,0.19077538,0.3499026,881.16315,0.6409934,0.006893268,10027545463.jpg
0.6329199,0.10503434,0.2566041,313.65424,0.29337785,0.0093382625,10027582235.jpg
0.4354149,0.27287892,0.23823069,1657.061,0.47180226,0.013051144,10029841663.jpg
0.1903307,0.28322846,0.0052993814,997.94244,0.007933553,0.0084771495,10031298826.jpg
0.6194562,0.2114405,0.18678331,3197.4285,0.37921727,0.025814379,10031913154.jpg
0.7096843,0.10994807,0.20130649,51.559017,0.3158068,0.0012810093,10039534103.jpg
0.3525379,0.24821086,0.112014525,1786.6881,0.23711853,0.020482114,10041870415.jpg
0.41655672,0.26189482,0.15800995,4050.1624,0.30590644,0.043752845,10043785683.jpg
0.374068,0.2694004,0.07892343,387.82834,0.20743713,0.008225531,10047832035.jpg
0.44490907,0.3108674,0.23983218,2988.1028,0.4107722,0.014357139,10048365153.jpg
0.40975335,0.3760175,0.13979258,68.7259,0.5275228,0.002761385,10050349236.jpg
0.17206411,0.11222556,0.32772285,53.487045,0.8849803,0.0061664255,10058760545.jpg
0.67385906,0.3398271,0.1388596,1499.3458,0.18255708,0.012676202,10059344614.jpg
0.62732565,0.27522838,0.43626994,158.4741,0.43505916,0.0037641576,10061596254.jpg
0.34991154,0.2790109,0.18175553,2068.0154,0.58016247,0.015078166,10067457634.jpg
0.17131382,0.16703348,0.22928016,1027.515,0.69139063,0.011001736,10068507976.jpg
0.487082,0.27397227,0.1260368,4832.513,0.20469046,0.025980933,10068778516.jpg
0.4673508,0.20206533,0.4791489,2614.8757,0.557846,0.022506949,10069534975.jpg
0.6337365,0.11100442,0.13121471,210.12746,0.19414325,0.004633673,10071864114.jpg
0.7091367,0.36599773,0.5233665,402.99426,0.3721002,0.00041518363,10075168775.jpg
0.5037819,0.33514604,0.40662488,1196.653,0.5357024,0.009541099,10077468576.jpg
0.6028276,0.13522549,0.10377409,217.84032,0.24777265,0.01418283,10077880165.jpg
0.20073545,0.2181332,0.29767781,210.22577,0.7137612,0.002351367,10079711433.jpg
0.14021981,0.17597604,0.29711094,288.9843,0.62758845,0.0047980407,10082923485.jpg
0.5829513,0.3301855,0.08781154,10865.418,0.15833052,0.077574074,10086300493.jpg
0.65282947,0.37109342,0.058386166,1069.1158,0.11621112,0.014200945,100882570.jpg
0.1094941,0.08805598,0.02658728,32.817287,0.23076738,0.0059021944,10089027076.jpg
0.7565548,0.21577764,0.07854467,4305.573,0.09750484,0.004979508,10089177336.jpg
0.19869566,0.07847356,0.2832377,100.037056,0.83674735,0.003937407,10091520555.jpg
0.35712782,0.18882543,0.34244043,160.56606,0.5767408,0.0033841757,10093057603.jpg
0.47800323,0.22451156,0.32216305,4286.5913,0.5960534,0.044398602,10094235786.jpg
0.79200053,0.27743605,0.0,480.37817,0.0,0.004268893,10110458216.jpg
0.8267253,0.15610646,0.17692609,554.30505,0.26277635,0.018152535,10111411235.jpg
0.4882292,0.20195946,0.39775214,527.03394,0.55802566,0.007685614,10113730664.jpg
0.26585123,0.2550531,0.081803545,2029.3082,0.38218448,0.017726416,10115071674.jpg
0.64307433,0.24140763,0.13726431,212.51636,0.25264138,0.0020188976,10118773964.jpg
0.33331522,0.22095543,0.13416795,2105.9097,0.54883695,0.02624094,10121813934.jpg
0.09382922,0.17172405,0.48418984,653.5644,0.47313684,0.002956125,10125013364.jpg
0.069071166,0.15598553,0.026036806,233.66866,0.16704798,0.0,10126177964.jpg
0.53187,0.22769254,0.20514864,2924.8274,0.30888975,0.015554683,10126857344.jpg
0.5442907,0.33099803,0.12721372,4102.233,0.26488936,0.032754306,10130566006.jpg
0.6110789,0.06213059,0.12565869,19.430973,0.3245649,0.0016567579,10131980434.jpg
0.30375412,0.21158583,0.263777,1010.56793,0.84108317,0.016026441,10133867305.jpg
0.8145256,0.25471035,0.09380086,1213.5681,0.08496445,0.0050627086,10134737015.jpg
0.73279434,0.3825502,0.09059084,653.04205,0.15239528,0.0,10140071304.jpg
0.71552485,0.15811329,0.13793299,65.736,0.41717649,0.0015043198,1014369849.jpg
0.35558763,0.26210943,0.1574748,3641.6143,0.35187265,0.029770276,10147970884.jpg
0.38498768,0.2358285,0.21102566,46.82053,0.57139796,0.003435168,101484668.jpg
0.5482326,0.36661792,0.071203746,1648.3881,0.20425902,0.010309276,10153847086.jpg
0.7878442,0.17595093,0.26743186,288.613,0.27207676,0.004372717,10154367094.jpg
0.30809668,0.25574544,0.20098864,1665.7559,0.5262859,0.017108722,10154991453.jpg
0.41461244,0.16154888,0.39534074,461.96048,0.734245,0.0049256245,10155925686.jpg
0.55369556,0.36907578,0.0,6149.943,0.0,0.024743313,101601008.jpg
0.4709494,0.17364714,0.23520714,347.93466,0.68323755,0.014655233,10164654253.jpg
0.38446698,0.2877744,0.15533088,5531.9985,0.523705,0.033573724,10164842933.jpg
0.4916626,0.24586001,0.26777065,3814.298,0.37787443,0.013610326,10169304416.jpg
0.7825265,0.23832472,0.08731593,516.3679,0.12647404,0.0031593987,10173544123.jpg
0.74846846,0.2190539,0.34065732,4709.899,0.30919454,0.026556663,1017647143.jpg
0.23940082,0.16651382,0.15793331,484.11462,0.5908909,0.0047329892,10177270623.jpg
0.29526582,0.27840453,0.29796818,1709.4777,0.70432216,0.011717808,10177793964.jpg
0.19990851,0.1256887,0.37675804,229.12767,0.8416665,0.0036971844,10178112894.jpg
0.37733963,0.17043741,0.40024403,1161.9729,0.69840574,0.0066203154,10178183416.jpg
0.5398213,0.27979073,0.22809845,2308.5981,0.38696644,0.02368081,10178914656.jpg
0.4135742,0.15281616,0.23341185,2143.5054,0.66063577,0.03309165,10183769356.jpg
0.7916847,0.1703407,0.37855032,375.1486,0.4010737,0.003949248,10186643874.jpg
0.35366395,0.31719983,0.21904956,1494.0059,0.51952827,0.011664784,10186680555.jpg
0.4593841,0.28341094,0.29322112,842.4717,0.51676095,0.010260203,10186832194.jpg
0.5047886,0.29151204,0.36307853,46.723904,0.6742454,0.0035652649,10187102065.jpg
0.63064396,0.15009737,0.3450382,168.6073,0.46630415,0.0024071503,10187522803.jpg
0.26164266,0.24754325,0.13242601,10427.042,0.4227267,0.04633133,10191607755.jpg
0.6709213,0.3460719,0.0,3847.9343,0.0,0.0071478393,10196228605.jpg
0.4394332,0.18273938,0.1721411,902.58936,0.54933727,0.020748356,10203647273.jpg
0.47766063,0.2874606,0.059359565,82.14309,0.14510572,0.0033542542,10205220286.jpg
0.5713215,0.18660595,0.30975232,1400.7046,0.41369903,0.004265568,10206674394.jpg
0.57047707,0.29109928,0.107475,5976.8496,0.20598517,0.042974867,10207172624.jpg
0.7300122,0.31522992,0.0,11654.796,0.0,0.02092387,10209014225.jpg
0.05279902,0.10292813,0.02257847,46.965794,0.5301473,0.0022054021,10209917915.jpg
0.121234156,0.16239786,0.41467425,26.604334,0.9153505,0.0021962766,10211880874.jpg
0.11889821,0.11978628,0.25943404,142.57622,0.9275167,0.0027698893,10213881683.jpg
0.44449112,0.2859546,0.34210786,2929.5635,0.62655926,0.018032823,10218118033.jpg
0.15824614,0.1110918,0.4150179,62.429073,0.7933672,0.0042611277,10221144393.jpg
0.1137064,0.08726416,0.18550348,192.28288,0.9098729,0.0029764068,10224586444.jpg
0.2842639,0.09190695,0.15294987,63.30667,0.63139063,0.005878031,10226277514.jpg
0.4696685,0.17130749,0.27067244,22.049261,0.54902375,0.0043684086,10226524916.jpg
0.4973838,0.27772707,0.29406822,3092.922,0.3915685,0.03686136,10227210045.jpg
0.21346466,0.17400661,0.11611782,6458.2866,0.46879846,0.04912325,10241630856.jpg
0.18387873,0.13312788,0.09038586,1396.7145,0.5240645,0.016722424,10241895785.jpg
0.25572285,0.33327514,0.008423711,334.73752,0.0569985,0.0027526324,10244314384.jpg
0.13261546,0.10100556,0.10373735,834.01886,0.51979697,0.008360105,10244715656.jpg
0.49145925,0.13179637,0.29975742,633.8619,0.46966904,0.004238262,10246311914.jpg
0.54228896,0.13661903,0.34937716,732.3023,0.52075154,0.0025132385,10246318724.jpg
0.41133365,0.24639912,0.27830195,525.92145,0.597643,0.010556104,10258169584.jpg
0.18304692,0.17457741,0.14140843,2985.7458,0.63969576,0.0306713,10260190424.jpg
0.37445077,0.3603501,0.16468842,6971.6567,0.42778367,0.018345585,1026198859.jpg
0.6178091,0.36149928,0.30142945,415.64914,0.44530535,0.0018643386,10262588616.jpg
0.67312235,0.1722127,0.25852787,1841.6074,0.63089365,0.03258899,10264804094.jpg
0.3691037,0.3603664,0.0,5421.485,0.0,0.028082335,10264984793.jpg
0.66773087,0.18078792,0.267535,1933.3234,0.52872795,0.033274118,10265315316.jpg
0.5355057,0.23630126,0.29714805,4350.3013,0.31212592,0.04539444,10265809113.jpg
0.50432575,0.2929101,0.2503089,4750.9487,0.5426264,0.046436343,10273804555.jpg
0.38382033,0.25644708,0.13209294,3211.7646,0.24960129,0.018397275,10278246465.jpg
0.46388218,0.36172846,0.058862172,3607.697,0.19299981,0.008281674,1027833701.jpg
0.08965821,0.074156694,0.16364297,71.679756,0.5912235,0.002336858,10279904885.jpg
0.6395835,0.112491824,0.081641525,214.29883,0.18009949,0.003443331,10280683815.jpg
0.79938936,0.26008308,0.038760826,81.201454,0.06729818,0.004505006,10280835505.jpg
0.09693605,0.073042974,0.078443326,1080.7728,0.31920603,0.010747629,102825508.jpg
0.48356473,0.2784832,0.37936267,2239.7683,0.34640312,0.013679617,10283619534.jpg
0.15757702,0.12727474,0.097626224,351.3406,0.48741964,0.011208014,10287677265.jpg
0.3723441,0.22218432,0.3519847,319.38358,0.8310596,0.00824557,10289468185.jpg
0.44983232,0.17103301,0.13644247,1249.4166,0.30901796,0.02626131,10290759976.jpg
0.4675745,0.39383605,0.34681192,3667.425,0.503657,0.019148322,1029470257.jpg
0.21591498,0.14051841,0.14067373,235.94788,0.3928141,0.009817558,10295875445.jpg
0.20486563,0.31073692,0.24326578,1558.2018,0.79538447,0.0018296479,10296038236.jpg
0.306049,0.22050342,0.21488777,119.0487,0.7478195,0.0052129594,10299438733.jpg
0.09511593,0.1420807,0.43092126,26.689825,0.70590395,0.002163712,102995966.jpg
0.7395742,0.28753754,0.08353617,1157.9457,0.15100479,0.0021865352,10316734944.jpg
0.26002398,0.23686124,0.27132982,214.05115,0.87997955,0.0037955374,10319186405.jpg
0.43637726,0.35648412,0.2182587,14.858158,0.5718938,0.0023227434,10319713194.jpg
0.35211876,0.20344098,0.34646964,1752.623,0.4838406,0.015209566,10325321.jpg
0.527247,0.2156627,0.16625343,3047.2297,0.27375293,0.016260145,10327985614.jpg
0.6106853,0.296331,0.2568669,2251.4045,0.40556356,0.011743184,10329149264.jpg
0.12968086,0.18564042,0.07733864,1420.5665,0.2142956,0.0025790343,10329235193.jpg
0.47807518,0.14375724,0.24115136,222.34912,0.7368008,0.0076755947,10330831494.jpg
0.57626396,0.235262,0.33187956,3341.6338,0.55951405,0.04234144,10335072144.jpg
0.44092286,0.3551699,0.078311086,1770.8082,0.1930955,0.009076776,10336689775.jpg
0.25413814,0.26293302,0.16259244,6782.4727,0.4450737,0.029036682,103400056.jpg
0.15051521,0.11002513,0.35758293,278.24008,0.88131845,0.004571902,10342569703.jpg
0.6873017,0.24207051,0.041540183,154.59644,0.08105481,0.0034636008,10344523015.jpg
0.8152148,0.3024859,0.04870926,18.230158,0.058744803,8.8369845e-08,10344921126.jpg
0.52462196,0.30329368,0.027777443,295.269,0.10222782,0.0025462003,1034624333.jpg
